MetaB.HostT_modulePair	MetaB.feature	HostT.feature	Link.by
MetaB.MElavenderblush3_HostT.MEpink1	C00062	PCNA	inhibition
MetaB.MEblue_HostT.MEdarkgreen	C00031	LGALS3	binding
MetaB.MEblue_HostT.MEdarkgreen	C00031	DPP4	binding
MetaB.MEblue_HostT.MEdarkgreen	C00031	M6PR	binding
MetaB.MEblue_HostT.MEdarkgreen	C00025	CAMK2A	binding
MetaB.MEblue_HostT.MEdarkgreen	C00025	BCAT1	binding
MetaB.MEred_HostT.MEwhite	C00051	KLF4	activation
MetaB.MEred_HostT.MEwhite	C00051	PPARG	binding
MetaB.MEred_HostT.MEpurple	C00051	SOD2	activation
MetaB.MEred_HostT.MEpurple	C00193	MMP1	activation
MetaB.MEplum1_HostT.MEturquoise	C00089	ST14	binding
MetaB.MEplum1_HostT.MEturquoise	C00089	AKR7A3	binding
MetaB.MEplum1_HostT.MEturquoise	C00089	FNTB	binding
MetaB.MElavenderblush3_HostT.MEbrown	C00062	DMD	activation
MetaB.MElavenderblush3_HostT.MEbrown	C00062	GLB1L2	binding
MetaB.MEfloralwhite_HostT.MEpurple	C00064	GCG	activation
MetaB.MEfloralwhite_HostT.MEbrown	C00064	CPS1	binding
MetaB.MEfloralwhite_HostT.MEbrown	C00135	DLG2	binding
MetaB.MEfloralwhite_HostT.MEbrown	C00064	AR	activation
MetaB.MEblue_HostT.MEbrown	C00025	GRM4	binding
MetaB.MEblue_HostT.MEbrown	C00031	AMIGO1	binding
MetaB.MEblue_HostT.MEbrown	C00025	GSTA4	binding
MetaB.MEblue_HostT.MEbrown	C00031	KDR	binding
MetaB.MEblue_HostT.MEbrown	C00031	INSR	binding
MetaB.MEred_HostT.MEpurple2	C00051	TXNRD3	binding
MetaB.MEdarkslateblue_HostT.MEgreenyellow	C01407	TRPA1	activation
MetaB.MEblue_HostT.MEdarkmagenta.1	C00031	EXTL2	binding
MetaB.MElavenderblush3_HostT.MEskyblue3.1	C00062	ENPEP	binding
MetaB.MEdarkslateblue_HostT.MEslateblue2	C00430	NUCKS1	activation
MetaB.MEblue_HostT.MEdarkseagreen2	C00031	OS9	binding
MetaB.MEblue_HostT.MEblueviolet	C00031	C8B	binding
MetaB.MEblue_HostT.MEblueviolet	C00031	PTPRM	binding
MetaB.MEsalmon_HostT.MEblue2	C00122	DHODH	binding
MetaB.MEblue_HostT.MEorangered	C00031	CES2	binding
MetaB.MEblue_HostT.MEorangered	C00031	SIGLEC1	binding
MetaB.MEblue_HostT.MEmagenta4	C00025	PPP2R2A	binding
MetaB.MEplum1_HostT.MEyellow	C00089	HMOX1	binding
MetaB.MEred_HostT.MElightpink	C00051	TP53	inhibition
MetaB.MEblue_HostT.MElightyellow.1	C00031	SCN4A	binding
MetaB.MEblue_HostT.MEpurple	C00025	GCG	activation
MetaB.MEblue_HostT.MEpurple	C00031	SERPINE1	binding
MetaB.MEblue_HostT.MEpurple	C00025	ACTN2	binding
MetaB.MEblue_HostT.MEpurple	C00031	IL6	activation
MetaB.MEblue_HostT.MEpurple	C00031	GCG	activation
MetaB.MEblue_HostT.MEpurple	C00025	SLC1A2	binding
MetaB.MEblue_HostT.MEpurple	C00025	GNG2	binding
MetaB.MElightgreen_HostT.MEred	C00954	KYAT1	binding
MetaB.MElavenderblush3_HostT.MEsalmon2	C00079	CA2	binding
MetaB.MEplum1_HostT.MEorange	C00089	LTF	binding
MetaB.MEbisque4_HostT.MEturquoise	C05951	PDGFRB	activation
MetaB.MEblue_HostT.MEwhite	C00025	CAMK2B	binding
MetaB.MEblue_HostT.MEwhite	C05635	PPARG	binding
MetaB.MEblue_HostT.MEwhite	C00025	GRID2	binding
MetaB.MEblue_HostT.MEwhite	C00031	PPARG	binding
MetaB.MEblue_HostT.MEmagenta	C00031	CASQ1	binding
MetaB.MEblue_HostT.MEmagenta	C00031	IL12B	binding
MetaB.MEblue_HostT.MEmagenta	C00031	SCARF1	binding
MetaB.MEblue_HostT.MEmagenta	C00025	CASR	binding
MetaB.MEplum1_HostT.MElightyellow	C00089	CES1	binding
MetaB.MElightgreen_HostT.MEorange	C00954	CCND1	activation
MetaB.MElightgreen_HostT.MEorange	C00954	LTF	binding
MetaB.MEred_HostT.MEmagenta	C00051	PTGES	binding
MetaB.MEblue_HostT.MEhoneydew1	C00031	LAMB2	binding
MetaB.MEblue_HostT.MEcyan	C00257	KL	binding
MetaB.MEblue_HostT.MEcyan	C00031	FN1	binding
MetaB.MEblue_HostT.MEcyan	C00031	ADAMTS13	binding
MetaB.MEblue_HostT.MEcyan	C00031	GLB1	binding
MetaB.MEblue_HostT.MEhoneydew3	C00031	LY96	binding
MetaB.MEblue_HostT.MEhoneydew3	C00031	B2M	binding
MetaB.MEblue_HostT.MEthistle4	C00031	FAM3B	activation
MetaB.MEblue_HostT.MEthistle4	C00031	FZD8	binding
MetaB.MElavenderblush3_HostT.MEyellow	C00079	GCH1	binding
MetaB.MElavenderblush3_HostT.MEyellow	C00062	ARG2	binding
MetaB.MEblue_HostT.MEdarksalmon	C00025	VAMP2	binding
MetaB.MEbisque4_HostT.MElightsteelblue1	C05951	CXCL8	activation
MetaB.MEblue_HostT.MEgreenyellow	C00031	CSF1	binding
MetaB.MEblue_HostT.MEgreenyellow	C00031	SLC3A1	binding
MetaB.MEblue_HostT.MEgreenyellow	C00025	SLC7A11	binding
MetaB.MEblue_HostT.MEgreenyellow	C00031	LGR5	binding
MetaB.MEblue_HostT.MEyellow	C00025	IL10	activation
MetaB.MEblue_HostT.MEyellow	C00257	KLB	binding
MetaB.MEblue_HostT.MEyellow	C00031	AMY1C	binding
MetaB.MEblue_HostT.MEyellow	C00031	AMY2B	binding
MetaB.MEblue_HostT.MEyellow	C00031	SERPINC1	binding
MetaB.MEblue_HostT.MEyellow	C00025	PYCR1	binding
MetaB.MEblue_HostT.MEorangered4	C00025	PVR	binding
MetaB.MEblue_HostT.MEorangered4	C00031	TFRC	binding
MetaB.MEblue_HostT.MEorangered4	C00031	PVR	binding
MetaB.MEblue_HostT.MEorangered4	C00025	CAMK2D	binding
MetaB.MEplum1_HostT.MEmagenta	C00089	ACTA1	binding
MetaB.MEbisque4_HostT.MEdarkgoldenrod4	C05951	MAPK8	activation
MetaB.MEblue_HostT.MEred	C00031	IGF2	binding
MetaB.MEblue_HostT.MEred	C00031	CA14	binding
MetaB.MEblue_HostT.MEred	C00025	CBS	binding
MetaB.MEblue_HostT.MEred	C00025	GRIK5	activation
MetaB.MEblue_HostT.MEred	C00031	ANPEP	binding
MetaB.MEblue_HostT.MEred	C00257	LCT	binding
MetaB.MEplum1_HostT.MEdarkgreen	C00089	SLC2A5	activation
MetaB.MEplum1_HostT.MEdarkgreen	C00089	UQCRC2	binding
MetaB.MEblue_HostT.MElightsteelblue1	C00031	FCAR	binding
MetaB.MEblue_HostT.MElightsteelblue1	C00031	PIGA	binding
MetaB.MEblue_HostT.MEcoral	C00025	DTD2	binding
MetaB.MEblue_HostT.MEcoral	C00025	PPP1CC	binding
MetaB.MEblue_HostT.MEtan.1	C00031	ITGA5	binding
MetaB.MEsalmon_HostT.MEcyan	C00122	MTHFD1	binding
MetaB.MEblue_HostT.MEtan4	C00031	IFNLR1	binding
MetaB.MEblue_HostT.MEtan4	C00031	KCNA10	binding
MetaB.MEblue_HostT.MEtan4	C00031	COLEC12	binding
MetaB.MEblue_HostT.MEdarkmagenta	C00031	IL34	binding
MetaB.MEblue_HostT.MEdarkmagenta	C00031	SEMA6C	binding
MetaB.MEblue_HostT.MEbisque4	C00031	IL6R	binding
MetaB.MEblue_HostT.MEbisque4	C00031	GLA	binding
MetaB.MEfloralwhite_HostT.MEmagenta	C00135	CARD14	binding
MetaB.MEblue_HostT.MEred4	C00025	PPP2R1A	binding
MetaB.MEbisque4_HostT.MEcoral	C05951	MAPK9	activation
MetaB.MEplum1_HostT.MEthistle4	C00089	NOS3	inhibition
MetaB.MEred_HostT.MElightsteelblue1	C00051	GSTO2	binding
MetaB.MEblue_HostT.MEdarkorange2	C00025	PPP2R5C	binding
MetaB.MEbisque4_HostT.MEpurple	C05951	SRC	activation
MetaB.MEskyblue_HostT.MEorangered4	C00073	PVR	binding
MetaB.MEblue_HostT.MEfirebrick4	C00031	NAGK	binding
MetaB.MEblue_HostT.MEfirebrick4	C00031	C3	binding
MetaB.MEred_HostT.MElightgoldenrod2	C00051	KLRK1	binding
MetaB.MElightgreen_HostT.MEyellow	C00954	CCDC80	inhibition
MetaB.MEsalmon_HostT.MEpurple	C00122	HRH1	binding
MetaB.MEsalmon_HostT.MEpurple	C00122	SRC	binding
MetaB.MEred_HostT.MEbrown	C00051	GREM2	binding
MetaB.MEred_HostT.MEbrown	C00082	AR	activation
MetaB.MEred_HostT.MEbrown	C00051	GSTA1	binding
MetaB.MEred_HostT.MEbrown	C00051	GSTA4	binding
MetaB.MEantiquewhite4_HostT.MEhoneydew1	C03582	EIF4G1	activation
MetaB.MEskyblue3_HostT.MEsienna3	C02135	DECR1	activation
MetaB.MEslateblue_HostT.MEred	C06913	CHRM5	binding
MetaB.MEslateblue_HostT.MEred	C00299	UPP1	binding
MetaB.MEslateblue_HostT.MEred	C06913	ADRA1D	binding
MetaB.MEfloralwhite_HostT.MEwhite	C07953	CHRM4	binding
MetaB.MEfloralwhite_HostT.MEwhite	C06935	CHRM4	binding
MetaB.MEantiquewhite1_HostT.MEturquoise	HMDB0015616	PGR	inhibition
MetaB.MEskyblue3_HostT.MEyellow	C02135	TGFA	inhibition
MetaB.MEskyblue3_HostT.MEyellow	C02135	SLC2A1	activation
MetaB.MEskyblue3_HostT.MEyellow	C02135	PLG	activation
MetaB.MEskyblue3_HostT.MEyellow	C02135	PDGFA	activation
MetaB.MEskyblue3_HostT.MEyellow	C07406	CYP2D6	binding
MetaB.MEskyblue3_HostT.MEyellow	C02135	PTGS2	inhibition
MetaB.MEskyblue_HostT.MEbrown	C00385	GDA	binding
MetaB.MEskyblue_HostT.MEbrown	C00385	AOX1	binding
MetaB.MEskyblue_HostT.MEbrown	C00077	CPS1	binding
MetaB.MEsalmon_HostT.MElightcyan4	C01443	ATP1B1	binding
MetaB.MEcyan_HostT.MEturquoise	HMDB0015110	SLC29A2	binding
MetaB.MEantiquewhite4_HostT.MEcoral	C03582	MAPK9	activation
MetaB.MEsalmon_HostT.MEturquoise	C01443	CPSF4	activation
MetaB.MEdarkmagenta_HostT.MEyellow	C03990	PTGS2	activation
MetaB.MElightgreen_HostT.MEsteelblue4	C00954	TPST1	activation
MetaB.MEantiquewhite4_HostT.MEorangered4	C03582	TFRC	inhibition
MetaB.MEskyblue_HostT.MEgreenyellow	C02712	MET	binding
MetaB.MEskyblue3_HostT.MEdeeppink	C02135	ITGAM	inhibition
MetaB.MEfirebrick4_HostT.MEdarkgoldenrod4	C07650	MAPK8	activation
MetaB.MEantiquewhite4_HostT.MEsalmon2	C03582	LTA4H	binding
MetaB.MEantiquewhite4_HostT.MEturquoise	C07202	GPBAR1	binding
MetaB.MEantiquewhite4_HostT.MEturquoise	C03582	PGR	inhibition
MetaB.MEantiquewhite4_HostT.MEturquoise	C03582	TNS1	activation
MetaB.MEantiquewhite4_HostT.MEturquoise	C03582	PELP1	activation
MetaB.MEantiquewhite4_HostT.MEturquoise	C03582	VDAC1	inhibition
MetaB.MEantiquewhite4_HostT.MEturquoise	C03582	BSG	inhibition
MetaB.MEantiquewhite4_HostT.MEturquoise	C03582	HSPB1	inhibition
MetaB.MEantiquewhite4_HostT.MEturquoise	C07202	ADRB3	binding
MetaB.MEantiquewhite4_HostT.MEturquoise	C03582	TGM2	activation
MetaB.MEantiquewhite4_HostT.MEturquoise	C03582	PFKM	inhibition
MetaB.MEorangered3_HostT.MErosybrown1	HMDB0014729	SERPINA6	binding
MetaB.MEmediumpurple1_HostT.MEbrown	C07204	NR1I2	activation
MetaB.MEpalevioletred2_HostT.MEred	HMDB0015315	DRD4	binding
MetaB.MEantiquewhite4_HostT.MEyellow	C03582	S100B	inhibition
MetaB.MEantiquewhite4_HostT.MEyellow	C01561	IL10	activation
MetaB.MEantiquewhite4_HostT.MEyellow	C03582	HMOX1	inhibition
MetaB.MEantiquewhite4_HostT.MEyellow	C00829	ADRA2A	binding
MetaB.MEantiquewhite4_HostT.MEyellow	C01561	IL17A	inhibition
MetaB.MEantiquewhite4_HostT.MEyellow	C01561	CUBN	binding
MetaB.MEantiquewhite4_HostT.MEyellow	C03582	CCR2	inhibition
MetaB.MEantiquewhite4_HostT.MEyellow	C03582	PTGS2	inhibition
MetaB.MEantiquewhite4_HostT.MEyellow	C03582	CYP2D6	inhibition
MetaB.MEantiquewhite4_HostT.MEyellow	C07202	ADRA2A	binding
MetaB.MEantiquewhite4_HostT.MEyellow	C03582	NPHS1	activation
MetaB.MEskyblue_HostT.MEsteelblue4	C00077	ARG1	binding
MetaB.MEsalmon2_HostT.MEturquoise	C02728	L3MBTL1	binding
MetaB.MEdarkslateblue_HostT.MElightyellow3	C12270	GRIN2D	activation
MetaB.MEskyblue3_HostT.MEthistle4	C02135	NOS3	activation
MetaB.MEskyblue3_HostT.MEmagenta	C02135	NPPA	activation
MetaB.MEantiquewhite4_HostT.MEsaddlebrown.1	C03582	PLAU	inhibition
MetaB.MEantiquewhite4_HostT.MElightsteelblue1	C03582	NR1I3	activation
MetaB.MEantiquewhite4_HostT.MElightsteelblue1	C03582	FOXO3	activation
MetaB.MEantiquewhite4_HostT.MElightsteelblue1	C03582	CXCL8	inhibition
MetaB.MEfirebrick4_HostT.MEchocolate4	HMDB0014828	GABRE	binding
MetaB.MEsalmon_HostT.MEdarkgoldenrod4	C01443	MAPK8	activation
MetaB.MEdarkmagenta_HostT.MEbrown3	C03990	AKR1C3	inhibition
MetaB.MEcyan_HostT.MEpurple2	HMDB0015110	ALDH7A1	inhibition
MetaB.MEantiquewhite4_HostT.MEbrown	C03582	FOXO1	activation
MetaB.MEantiquewhite4_HostT.MEbrown	C05901	SIRT5	activation
MetaB.MEantiquewhite4_HostT.MEbrown	C03582	PRNP	inhibition
MetaB.MEantiquewhite4_HostT.MEbrown	C07202	HTR1F	binding
MetaB.MEantiquewhite4_HostT.MEbrown	C03582	IGF1	inhibition
MetaB.MEantiquewhite4_HostT.MEbrown	C03582	NQO1	activation
MetaB.MEantiquewhite4_HostT.MEbrown	C03582	CS	activation
MetaB.MEantiquewhite4_HostT.MEbrown	C03582	KDR	inhibition
MetaB.MEantiquewhite4_HostT.MEbrown	C07202	AQP1	inhibition
MetaB.MEantiquewhite4_HostT.MEbrown	C05901	AGT	inhibition
MetaB.MEantiquewhite4_HostT.MEbrown	C03582	ALDH1A1	inhibition
MetaB.MEantiquewhite4_HostT.MEbrown	C03582	DAPK1	activation
MetaB.MEantiquewhite4_HostT.MEbrown	C03582	SIRT5	activation
MetaB.MEantiquewhite4_HostT.MEbrown	C03582	AR	inhibition
MetaB.MEantiquewhite4_HostT.MEbrown	C03582	AGT	inhibition
MetaB.MEantiquewhite4_HostT.MEbrown	C03582	NR1I2	activation
MetaB.MEorangered3_HostT.MEyellow	C12564	CYP2D6	binding
MetaB.MEorangered3_HostT.MEyellow	C12564	ADRA2A	binding
MetaB.MEorangered3_HostT.MEyellow	C12564	CNR1	activation
MetaB.MEplum1_HostT.MEpurple	HMDB0015598	GCG	activation
MetaB.MEfloralwhite_HostT.MEyellow	C00475	MCL1	inhibition
MetaB.MEfloralwhite_HostT.MEyellow	C00148	ARG2	binding
MetaB.MEbrown4_HostT.MEgreen2	C07256	SLC6A3	binding
MetaB.MEantiquewhite4_HostT.MEwhite	C03582	PPARG	activation
MetaB.MEantiquewhite4_HostT.MEwhite	C07202	CHRM4	binding
MetaB.MEskyblue_HostT.MEdarkseagreen2	C02712	UBE2M	binding
MetaB.MEfirebrick4_HostT.MEdarkorchid2	C07650	PARP1	activation
MetaB.MEantiquewhite4_HostT.MEblue2	C03582	BAK1	activation
MetaB.MEfirebrick4_HostT.MEyellow	C07650	MICB	inhibition
MetaB.MEfirebrick4_HostT.MEyellow	C07650	HMOX1	activation
MetaB.MEfirebrick4_HostT.MEcoral	C07650	MAPK9	activation
MetaB.MEblue_HostT.MEblue2	C11231	BAK1	activation
MetaB.MEblue_HostT.MEblue2	C01598	CAPN11	inhibition
MetaB.MEantiquewhite4_HostT.MEsienna3	C03582	ODC1	inhibition
MetaB.MEfloralwhite_HostT.MEchocolate2	C00148	P4HA2	binding
MetaB.MEpink_HostT.MEblue2	C07706	UCP2	activation
MetaB.MEhoneydew1_HostT.MEpurple	C07240	ABCA1	activation
MetaB.MEhoneydew1_HostT.MEpurple	C07240	NFKB1	inhibition
MetaB.MEhoneydew1_HostT.MEpurple	C12012	IL6	inhibition
MetaB.MEskyblue3_HostT.MEhoneydew2	C02135	JUN	activation
MetaB.MEcyan_HostT.MEdarkgoldenrod4	HMDB0015110	MAPK8	activation
MetaB.MEskyblue3_HostT.MEbrown	C02135	AGT	inhibition
MetaB.MEskyblue3_HostT.MEbrown	C02135	IGF1	activation
MetaB.MEslateblue_HostT.MEwhite	C06913	CHRM4	binding
MetaB.MElightgreen_HostT.MEhotpink2	C00954	LTF	binding
MetaB.MEsalmon_HostT.MEgreenyellow	C07339	PLCL1	binding
MetaB.MEplum_HostT.MEbrown	C06956	NR1I2	inhibition
MetaB.MEcoral4_HostT.MEdarkviolet	C04300	ABCC2	activation
MetaB.MEantiquewhite4_HostT.MEdarkmagenta.1	C07202	CHRM3	binding
MetaB.MEhoneydew1_HostT.MEyellow	C07240	CYP2D6	inhibition
MetaB.MEblue_HostT.MElightpink	C01598	TP53	activation
MetaB.MEblue_HostT.MElightpink	C01516	TP53	activation
MetaB.MEblue_HostT.MElightpink	C11231	TP53	activation
MetaB.MEbrown4_HostT.MEmagenta	C01814	NPPA	inhibition
MetaB.MEantiquewhite4_HostT.MEfloralwhite	C03582	ELANE	inhibition
MetaB.MEslateblue_HostT.MEpurple	C06913	HRH1	binding
MetaB.MEfirebrick4_HostT.MEturquoise	C07650	NUPR1	activation
MetaB.MEfirebrick4_HostT.MEturquoise	C07650	DCTD	binding
MetaB.MEbisque4_HostT.MEfirebrick4	HMDB0015108	SREBF1	inhibition
MetaB.MEorangered3_HostT.MEdarkmagenta.1	C12564	CHRM3	binding
MetaB.MEantiquewhite4_HostT.MEred	C03582	SESN2	activation
MetaB.MEantiquewhite4_HostT.MEred	C03582	CEL	inhibition
MetaB.MEantiquewhite4_HostT.MEred	C07202	CHRM5	binding
MetaB.MEantiquewhite4_HostT.MEred	C01561	THBS3	binding
MetaB.MEantiquewhite4_HostT.MEred	C03582	BGLAP	activation
MetaB.MEantiquewhite4_HostT.MEred	C03582	TBXA2R	inhibition
MetaB.MEskyblue_HostT.MElightyellow	C00463	GATA3	inhibition
MetaB.MEbisque4_HostT.MEdarkviolet	C02166	ABCC2	binding
MetaB.MEfirebrick4_HostT.MElavenderblush2	C07650	CMPK1	binding
MetaB.MEfirebrick4_HostT.MElavenderblush2	C07650	RRM1	inhibition
MetaB.MEmediumpurple1_HostT.MEbrown3	C07204	ABCG2	activation
MetaB.MEivory_HostT.MEskyblue2	C06947	CHRNA3	binding
MetaB.MEfloralwhite_HostT.MEhoneydew2	C00148	PPIF	binding
MetaB.MEdarkmagenta_HostT.MEbrown	C03990	NR1I2	activation
MetaB.MEdarkmagenta_HostT.MEbrown	C03990	AKR1C1	inhibition
MetaB.MEdarkmagenta_HostT.MEbrown	C03990	PTK2	inhibition
MetaB.MEdarkmagenta_HostT.MEfirebrick3	C03990	VDR	activation
MetaB.MEnavajowhite_HostT.MEpurple	HMDB0005041	HTR7	inhibition
MetaB.MEfirebrick4_HostT.MEmoccasin	C07650	CXCR4	activation
MetaB.MEnavajowhite_HostT.MEbrown	C07346	AR	binding
MetaB.MEnavajowhite_HostT.MEbrown	HMDB0005041	IGF1	activation
MetaB.MEplum_HostT.MEyellow	C06956	IL17A	inhibition
MetaB.MEskyblue3_HostT.MElightyellow.1	C02135	AGTR1	binding
MetaB.MEred_HostT.MElightyellow.1	C07415	GRK1	binding
MetaB.MEred_HostT.MEdarkviolet	C00486	ABCC2	activation
MetaB.MEhoneydew1_HostT.MEwhite	C07240	PPARG	activation
