Metabolome	MetaCyc_compounds
C06082	CPD-11984
C00954	CPD-11981
C00179	CPD-11963
C02267	CPD-11928
C00234	CPD-11892
C05589	CPD-11875
C04376	CPD-11652
C00413	CPD-11649
C11169	CPD-11627
C00750	CPD-11480
C04225	CPD-1136
C00789	CPD-1111
C00921	CPD-11
C04148	CPD-1097
C01767	CPD-1089
C01453	CPD-10887
C04453	CPD-10855
C00399	CPD-10805
C00178	CPD-10764
C05259	CPD-10728
C02678	CPD-10670
C08887	CPD-10662
C12832	CPD-10623
C00700	CPD-10544
C08278	CPD-10511
C17010	CPD-10484
C07201	CPD-10389
HMDB0011533	CPD-10381
C06095	CPD-10332
C11285	CPD-10272
C00762	CPD-10162
C15790	CPD0-955
C15798	CPD0-925
C01789	CPD0-914
C00114	CPD0-2630
C00129	CPD0-2583
C01169	CPD0-2582
C00523	CPD0-2538
C00245	CPD0-2483
C00506	CPD0-2475
C11536	CPD0-2434
C05926	CPD0-2177
C00835	CPD0-2175
HMDB0003288	CPD0-2101
C06879	CPD0-2066
C03677	CPD0-1944
C00146	CPD0-1883
C06604	CPD0-1762
C06606	CPD0-1760
C00870	CPD0-1720
C01100	CPD0-1565
C01455	CPD0-1463
C02567	CPD0-1422
C07069	CPD0-1396
C01004	CPD0-1379
C00918	CPD0-1357
C00365	CPD0-1343
C00783	CPD0-1316
C01412	CPD0-1300
C00729	CPD0-1293
C00780	CPD0-1263
C00292	CPD0-1240
C01936	CPD0-1133
C00712	CPD0-1129
C00735	CORTISOL
C02140	CORTICOSTERONE
C06171	CODEINONE
C00128	CMP-N-ACETYL-NEURAMINATE
C00055	CMP
C00158	CIT
C06727	CIS-12-DIHYDRO-3-ETHYLCATECHOL
C00318	CARNITINE
C01561	CALCIDIOL
C10434	CAFFEOYLSHIKIMATE
C00323	CAFFEOYL-COA
C00246	BUTYRIC_ACID
C03410	B-LMAN-HEX-1:5_6:D
C02010	BLASTICIDIN-S
C04824	BISOHMYR-GLUCOSAMINYL-1P
C00120	BIOTIN
C04555	BETA-HYDROXYANDROST-5-EN-17-ONE-3-SULFAT
C00758	BERGAPTOL
C01407	BENZENE
C07339	ATABRINE
C01892	ARGININE-METHYL-ESTER
C00062	ARG
C00280	ANDROST4ENE
C04771	AMINO-ETCETERA-PYRIDIN-1-YL-PROPANOATE
C04886	ALPHA-N-ACETYLNEURAMINYL-26-BETA-D-GALA
C04217	ALL-TRANS-PENTAPRENYL-DIPHOSPHATE
C01230	ALL-TRANS-HEXAPRENYL-DIPHOSPHATE
C04216	ALL-TRANS-HEPTAPRENYL-DIPHOSPHATE
C00611	ALLOLACTOSE
C06454	A-HEP-1:5
C00906	A-DGLC-HEX-1:5_6:A
C00147	ADENINE
C07648	A-DARA-HEX-2:5_2:KETO
C00207	ACETONE
C01092	8-AMINO-7-OXONONANOATE
C04858	7-O-BETA-D-APIOFURANOSYL-12-BETA-D-GLU
C05322	7-O-ACETYLSALUTARIDINOL
C05952	7E9E11Z14Z-5S6R-6-CYSTEIN-S-YL
C06071	7-DEOXYLOGANIN
C01020	6-HYDROXY-3-HEXENOYL-COA
C03683	6-DEMETHYLSTERIGMATOCYSTIN
C06593	6C-Glc-2-hydroxyeriodictyol
C01312	5Z13E-15S-69-ALPHA-EPOXY-11-ALPHA
C05515	5-UREIDO-4-IMIDAZOLE_CARBOXYLATE
C04640	5-PHOSPHORIBOSYL-N-FORMYLGLYCINEAMIDINE
C00170	5-METHYLTHIOADENOSINE
C00440	5-METHYL-THF
C11821	5-HYDROXY-PIPECOLATE
C05635	5-HYDROXYINDOLE_ACETATE
C00430	5-AMINO-5-DEOXY-D-GALACTOPYRANOSIDE
C03492	4-P-PANTOTHENATE
C00156	4-hydroxybenzoate
C11435	4-CYTIDINE-5-DIPHOSPHO-2-C
C00606	3-SULFINOALANINE
C17241	3-METHYLTHIOPROPANALDOXIME
C05401	3-AMINO-12-PROPANEDIOL
C01301	3-ALPHA7-ALPHA12-ALPHA-TRIHYDROX
C01875	2-PYRAZOLINE
C11544	2-O-ALPHA-MANNOSYL-D-GLYCERATE
C02502	2-HYDROXYPYRIDINE
C02659	2-HYDROXY-2-METHYLPROPANENITRILE
C01546	2-FUROATE
C03343	2-DEOXYGLUCOSE-6-PHOSPHATE
C02220	2-AMINO-MUCONATE
C01059	2-5-DIHYDROXYPYRIDINE
C03340	2-3-DIHYDRODIPICOLINATE
C01176	17-ALPHA-HYDROXYPROGESTERONE
C04518	17-ALPHA20-ALPHA-DIHYDROXYPREGN-4-EN-3-
C04437	1-5-PHOSPHORIBOSYLIMIDAZOLE-4-ACETATE
HMDB0002379	13-HYDROXY-MAGNESIUM-PROTOPORP
C04717	13-HYDROPEROXYOCTADECA-911-DIENOATE
C07481	1-3-7-TRIMETHYLXANTHINE
C06167	12-DEHYDRORETICULINIUM
C04547	12-BIS4-HYDROXY-3-METHOXYPHENYLETHYLE
C11700	10-DEACETYLBACCATIN-III
C11899	10-DEACETYL-2-DEBENZOYLBACCATIN-III
