MetaG.module	MetaB.module	Species	delta.spearman.r
MetaG_M00373	MetaB_MEblack	Campylobacter_concisus	-0.0027987
MetaG_M00373	MetaB_MEblack	Campylobacter_showae	-0.0022565
MetaG_M00373	MetaB_MEblack	Capnocytophaga_gingivalis	-0.0029161
MetaG_M00373	MetaB_MEblack	Capnocytophaga_leadbetteri	-0.0026087
MetaG_M00373	MetaB_MEblack	Escherichia_coli	-0.0241203
MetaG_M00373	MetaB_MEblack	Fusobacterium_necrophorum	-0.002536
MetaG_M00373	MetaB_MEblack	Fusobacterium_periodonticum	-0.0024577
MetaG_M00373	MetaB_MEblack	Gardnerella_vaginalis	-0.0027876
MetaG_M00373	MetaB_MEblack	Gemella_haemolysans	-0.0023347
MetaG_M00373	MetaB_MEblack	Gemella_morbillorum	-0.0028938
MetaG_M00373	MetaB_MEblack	Haemophilus_influenzae	-0.005661
MetaG_M00373	MetaB_MEblack	Haemophilus_parahaemolyticus	0.0012039
MetaG_M00373	MetaB_MEblack	Haemophilus_parainfluenzae	-0.0014682
MetaG_M00373	MetaB_MEblack	Lachnoanaerobaculum_umeaense	-0.0015912
MetaG_M00373	MetaB_MEblack	Lachnospiraceae_bacterium	-0.0029217
MetaG_M00373	MetaB_MEblack	Lachnospiraceae_bacterium_GAM79	-0.0027876
MetaG_M00373	MetaB_MEblack	Lachnospiraceae_bacterium_oral_taxon_500	-0.0016304
MetaG_M00373	MetaB_MEblack	Lactobacillus_salivarius	-0.0027596
MetaG_M00373	MetaB_MEblack	Lautropia_mirabilis	-0.0023739
MetaG_M00373	MetaB_MEblack	Leptotrichia_sp_oral_taxon_212	-0.0027373
MetaG_M00373	MetaB_MEblack	Leptotrichia_sp_oral_taxon_498	-0.0027876
MetaG_M00373	MetaB_MEblack	Leptotrichia_wadei	-0.0024969
MetaG_M00373	MetaB_MEblack	Megasphaera_hexanoica	-0.0029329
MetaG_M00373	MetaB_MEblack	Mogibacterium_diversum	0.0025288
MetaG_M00373	MetaB_MEblack	Moraxella_catarrhalis	-0.0037715
MetaG_M00373	MetaB_MEblack	Neisseria_elongata	-0.0027317
MetaG_M00373	MetaB_MEblack	Neisseria_meningitidis	-0.0026031
MetaG_M00373	MetaB_MEblack	Neisseria_mucosa	-0.002072
MetaG_M00373	MetaB_MEblack	Neisseria_subflava	0.0050054
MetaG_M00373	MetaB_MEblack	Parvimonas_micra	-0.0018763
MetaG_M00373	MetaB_MEblack	Porphyromonas_gingivalis	0.0193055
MetaG_M00373	MetaB_MEblack	Prevotella_denticola	-0.0026087
MetaG_M00373	MetaB_MEblack	Prevotella_intermedia	-0.0019881
MetaG_M00373	MetaB_MEblack	Prevotella_jejuni	-0.0043305
MetaG_M00373	MetaB_MEblack	Prevotella_melaninogenica	-0.0039839
MetaG_M00373	MetaB_MEblack	Prevotella_oris	-0.0045988
MetaG_M00373	MetaB_MEblack	Pseudomonas_aeruginosa	0.0027581
MetaG_M00373	MetaB_MEblack	Pseudomonas_putida	-0.0038553
MetaG_M00373	MetaB_MEblack	Ralstonia_mannitolilytica	-9.86E-05
MetaG_M00373	MetaB_MEblack	Rothia_dentocariosa	-0.002536
MetaG_M00373	MetaB_MEblack	Rothia_mucilaginosa	-0.0075394
MetaG_M00373	MetaB_MEblack	Ruania_sp_HY168	-0.0062871
MetaG_M00373	MetaB_MEblack	Ruminococcus_bicirculans	-0.0012726
MetaG_M00373	MetaB_MEblack	Saccharibacteria	-0.0008142
MetaG_M00373	MetaB_MEblack	Schaalia_odontolytica	-0.0025975
MetaG_M00373	MetaB_MEblack	Selenomonas_sp_oral_taxon_126	-0.0027652
MetaG_M00373	MetaB_MEblack	Selenomonas_sp_oral_taxon_920	-0.0027652
MetaG_M00373	MetaB_MEblack	Sneathia_amnii	-0.0021726
MetaG_M00373	MetaB_MEblack	Streptococcus_gordonii	-0.0027876
MetaG_M00373	MetaB_MEblack	Streptococcus_intermedius	-0.0027876
MetaG_M00373	MetaB_MEblack	Streptococcus_mitis	-0.0050181
MetaG_M00373	MetaB_MEblack	Streptococcus_pneumoniae	0.0035631
MetaG_M00373	MetaB_MEblack	Streptococcus_salivarius	-0.0018316
MetaG_M00373	MetaB_MEblack	Streptococcus_sanguinis	-0.0028323
MetaG_M00373	MetaB_MEblack	Streptococcus_sp_LPB0220	-0.0040174
MetaG_M00373	MetaB_MEblack	Streptococcus_sp_oral_taxon_431	-0.0030615
MetaG_M00373	MetaB_MEblack	Tannerella_sp_oral_taxon_HOT-286	-0.0032236
MetaG_M00373	MetaB_MEblack	Treponema_putidum	-0.0026925
MetaG_M00373	MetaB_MEblack	Treponema_sp_OMZ_838	-0.0038553
MetaG_M00373	MetaB_MEblack	Veillonella_atypica	-0.0038441
MetaG_M00373	MetaB_MEblack	Veillonella_dispar	-0.0116538
MetaG_M00373	MetaB_MEblack	Veillonella_parvula	-0.0031398
MetaG_M00373	MetaB_MEdarkred	Acinetobacter_baumannii	-0.00666793
MetaG_M00373	MetaB_MEdarkred	Actinomyces_oris	-0.00936248
MetaG_M00373	MetaB_MEdarkred	Actinomyces_pacaensis	-0.00953019
MetaG_M00373	MetaB_MEdarkred	Actinomyces_sp_oral_taxon_897	-0.0081941
MetaG_M00373	MetaB_MEdarkred	Actinomyces_viscosus	-0.0095805
MetaG_M00373	MetaB_MEdarkred	Aggregatibacter_aphrophilus	-0.00825
MetaG_M00373	MetaB_MEdarkred	Bacteroides_heparinolyticus	-0.00804316
MetaG_M00373	MetaB_MEdarkred	Campylobacter_concisus	-0.00893761
MetaG_M00373	MetaB_MEdarkred	Campylobacter_showae	-0.00823323
MetaG_M00373	MetaB_MEdarkred	Capnocytophaga_gingivalis	-0.00850716
MetaG_M00373	MetaB_MEdarkred	Capnocytophaga_leadbetteri	-0.00772451
MetaG_M00373	MetaB_MEdarkred	Escherichia_coli	-0.02440049
MetaG_M00373	MetaB_MEdarkred	Fusobacterium_necrophorum	-0.00808229
MetaG_M00373	MetaB_MEdarkred	Fusobacterium_periodonticum	-0.00729964
MetaG_M00373	MetaB_MEdarkred	Gardnerella_vaginalis	-0.00845684
MetaG_M00373	MetaB_MEdarkred	Gemella_haemolysans	-0.00695304
MetaG_M00373	MetaB_MEdarkred	Gemella_morbillorum	-0.0081941
MetaG_M00373	MetaB_MEdarkred	Haemophilus_influenzae	-0.01121288
MetaG_M00373	MetaB_MEdarkred	Haemophilus_parahaemolyticus	-0.00519208
MetaG_M00373	MetaB_MEdarkred	Haemophilus_parainfluenzae	-0.00873636
MetaG_M00373	MetaB_MEdarkred	Lachnoanaerobaculum_umeaense	-0.00858542
MetaG_M00373	MetaB_MEdarkred	Lachnospiraceae_bacterium	-0.00873077
MetaG_M00373	MetaB_MEdarkred	Lachnospiraceae_bacterium_GAM79	-0.00845684
MetaG_M00373	MetaB_MEdarkred	Lachnospiraceae_bacterium_oral_taxon_500	-0.0081326
MetaG_M00373	MetaB_MEdarkred	Lactobacillus_salivarius	-0.0077301
MetaG_M00373	MetaB_MEdarkred	Lautropia_mirabilis	-0.00610331
MetaG_M00373	MetaB_MEdarkred	Leptotrichia_sp_oral_taxon_212	-0.00787545
MetaG_M00373	MetaB_MEdarkred	Leptotrichia_sp_oral_taxon_498	-0.00845684
MetaG_M00373	MetaB_MEdarkred	Leptotrichia_wadei	-0.00863573
MetaG_M00373	MetaB_MEdarkred	Megasphaera_hexanoica	-0.00908855
MetaG_M00373	MetaB_MEdarkred	Mogibacterium_diversum	-0.00721579
MetaG_M00373	MetaB_MEdarkred	Moraxella_catarrhalis	0.01916503
MetaG_M00373	MetaB_MEdarkred	Neisseria_elongata	-0.00805434
MetaG_M00373	MetaB_MEdarkred	Neisseria_meningitidis	-0.00814937
MetaG_M00373	MetaB_MEdarkred	Neisseria_mucosa	-0.00817733
MetaG_M00373	MetaB_MEdarkred	Neisseria_subflava	-0.00833386
MetaG_M00373	MetaB_MEdarkred	Parvimonas_micra	-0.00780277
MetaG_M00373	MetaB_MEdarkred	Porphyromonas_gingivalis	0.00638551
MetaG_M00373	MetaB_MEdarkred	Prevotella_denticola	-0.00831708
MetaG_M00373	MetaB_MEdarkred	Prevotella_intermedia	-0.00836181
MetaG_M00373	MetaB_MEdarkred	Prevotella_jejuni	-0.00784191
MetaG_M00373	MetaB_MEdarkred	Prevotella_melaninogenica	-0.00493493
MetaG_M00373	MetaB_MEdarkred	Prevotella_oris	-0.00747853
MetaG_M00373	MetaB_MEdarkred	Pseudomonas_aeruginosa	0.01947809
MetaG_M00373	MetaB_MEdarkred	Pseudomonas_putida	-0.01125201
MetaG_M00373	MetaB_MEdarkred	Ralstonia_mannitolilytica	-0.00026699
MetaG_M00373	MetaB_MEdarkred	Rothia_dentocariosa	-0.0023466
MetaG_M00373	MetaB_MEdarkred	Rothia_mucilaginosa	0.00020259
MetaG_M00373	MetaB_MEdarkred	Ruania_sp_HY168	-0.00809347
MetaG_M00373	MetaB_MEdarkred	Ruminococcus_bicirculans	-0.00459951
MetaG_M00373	MetaB_MEdarkred	Saccharibacteria	-0.00760711
MetaG_M00373	MetaB_MEdarkred	Schaalia_odontolytica	-0.00827795
MetaG_M00373	MetaB_MEdarkred	Selenomonas_sp_oral_taxon_126	-0.00866369
MetaG_M00373	MetaB_MEdarkred	Selenomonas_sp_oral_taxon_920	-0.00838976
MetaG_M00373	MetaB_MEdarkred	Sneathia_amnii	-0.00707044
MetaG_M00373	MetaB_MEdarkred	Streptococcus_gordonii	-0.00845684
MetaG_M00373	MetaB_MEdarkred	Streptococcus_intermedius	-0.00845684
MetaG_M00373	MetaB_MEdarkred	Streptococcus_mitis	-0.00627661
MetaG_M00373	MetaB_MEdarkred	Streptococcus_pneumoniae	0.0128703
MetaG_M00373	MetaB_MEdarkred	Streptococcus_salivarius	-0.00839535
MetaG_M00373	MetaB_MEdarkred	Streptococcus_sanguinis	-0.00822764
MetaG_M00373	MetaB_MEdarkred	Streptococcus_sp_LPB0220	-0.00960845
MetaG_M00373	MetaB_MEdarkred	Streptococcus_sp_oral_taxon_431	-0.00799284
MetaG_M00373	MetaB_MEdarkred	Tannerella_sp_oral_taxon_HOT-286	-0.00886494
MetaG_M00373	MetaB_MEdarkred	Treponema_putidum	-0.00817174
MetaG_M00373	MetaB_MEdarkred	Treponema_sp_OMZ_838	-0.00857424
MetaG_M00373	MetaB_MEdarkred	Veillonella_atypica	-0.00802639
MetaG_M00373	MetaB_MEdarkred	Veillonella_dispar	-0.01514289
MetaG_M00373	MetaB_MEdarkred	Veillonella_parvula	-0.00834504
MetaG_M00373	MetaB_MEpalevioletred3	Acinetobacter_baumannii	0.0016431
MetaG_M00373	MetaB_MEpalevioletred3	Actinomyces_oris	0.0038848
MetaG_M00373	MetaB_MEpalevioletred3	Actinomyces_pacaensis	0.003119
MetaG_M00373	MetaB_MEpalevioletred3	Actinomyces_sp_oral_taxon_897	0.0039352
MetaG_M00373	MetaB_MEpalevioletred3	Actinomyces_viscosus	0.0031693
MetaG_M00373	MetaB_MEpalevioletred3	Aggregatibacter_aphrophilus	0.0040246
MetaG_M00373	MetaB_MEpalevioletred3	Bacteroides_heparinolyticus	0.00365
MetaG_M00373	MetaB_MEpalevioletred3	Campylobacter_concisus	0.003309
MetaG_M00373	MetaB_MEpalevioletred3	Campylobacter_showae	0.0048799
MetaG_M00373	MetaB_MEpalevioletred3	Capnocytophaga_gingivalis	0.0040414
MetaG_M00373	MetaB_MEpalevioletred3	Capnocytophaga_leadbetteri	0.0035326
MetaG_M00373	MetaB_MEpalevioletred3	Escherichia_coli	0.006093
MetaG_M00373	MetaB_MEpalevioletred3	Fusobacterium_necrophorum	0.0043936
MetaG_M00373	MetaB_MEpalevioletred3	Fusobacterium_periodonticum	0.0050029
MetaG_M00373	MetaB_MEpalevioletred3	Gardnerella_vaginalis	0.0038345
MetaG_M00373	MetaB_MEpalevioletred3	Gemella_haemolysans	0.0048631
MetaG_M00373	MetaB_MEpalevioletred3	Gemella_morbillorum	0.0039352
MetaG_M00373	MetaB_MEpalevioletred3	Haemophilus_influenzae	-0.0101972
MetaG_M00373	MetaB_MEpalevioletred3	Haemophilus_parahaemolyticus	0.0070937
MetaG_M00373	MetaB_MEpalevioletred3	Haemophilus_parainfluenzae	0.0051594
MetaG_M00373	MetaB_MEpalevioletred3	Lachnoanaerobaculum_umeaense	0.0034544
MetaG_M00373	MetaB_MEpalevioletred3	Lachnospiraceae_bacterium	0.0041252
MetaG_M00373	MetaB_MEpalevioletred3	Lachnospiraceae_bacterium_GAM79	0.0038345
MetaG_M00373	MetaB_MEpalevioletred3	Lachnospiraceae_bacterium_oral_taxon_500	0.0026382
MetaG_M00373	MetaB_MEpalevioletred3	Lactobacillus_salivarius	0.0041085
MetaG_M00373	MetaB_MEpalevioletred3	Lautropia_mirabilis	0.0042929
MetaG_M00373	MetaB_MEpalevioletred3	Leptotrichia_sp_oral_taxon_212	0.0039575
MetaG_M00373	MetaB_MEpalevioletred3	Leptotrichia_sp_oral_taxon_498	0.0038345
MetaG_M00373	MetaB_MEpalevioletred3	Leptotrichia_wadei	0.0037339
MetaG_M00373	MetaB_MEpalevioletred3	Megasphaera_hexanoica	0.0039296
MetaG_M00373	MetaB_MEpalevioletred3	Mogibacterium_diversum	0.0066465
MetaG_M00373	MetaB_MEpalevioletred3	Moraxella_catarrhalis	0.0028394
MetaG_M00373	MetaB_MEpalevioletred3	Neisseria_elongata	0.0048576
MetaG_M00373	MetaB_MEpalevioletred3	Neisseria_meningitidis	0.0036836
MetaG_M00373	MetaB_MEpalevioletred3	Neisseria_mucosa	0.0049302
MetaG_M00373	MetaB_MEpalevioletred3	Neisseria_subflava	-0.0106389
MetaG_M00373	MetaB_MEpalevioletred3	Parvimonas_micra	0.0046339
MetaG_M00373	MetaB_MEpalevioletred3	Porphyromonas_gingivalis	-0.0092748
MetaG_M00373	MetaB_MEpalevioletred3	Prevotella_denticola	0.0037283
MetaG_M00373	MetaB_MEpalevioletred3	Prevotella_intermedia	0.0009723
MetaG_M00373	MetaB_MEpalevioletred3	Prevotella_jejuni	0.0052712
MetaG_M00373	MetaB_MEpalevioletred3	Prevotella_melaninogenica	0.0022469
MetaG_M00373	MetaB_MEpalevioletred3	Prevotella_oris	0.0031246
MetaG_M00373	MetaB_MEpalevioletred3	Pseudomonas_aeruginosa	0.0098386
MetaG_M00373	MetaB_MEpalevioletred3	Pseudomonas_putida	0.0034208
MetaG_M00373	MetaB_MEpalevioletred3	Ralstonia_mannitolilytica	0.0045836
MetaG_M00373	MetaB_MEpalevioletred3	Rothia_dentocariosa	0.0002455
MetaG_M00373	MetaB_MEpalevioletred3	Rothia_mucilaginosa	-0.0024602
MetaG_M00373	MetaB_MEpalevioletred3	Ruania_sp_HY168	-0.0026391
MetaG_M00373	MetaB_MEpalevioletred3	Ruminococcus_bicirculans	0.0056402
MetaG_M00373	MetaB_MEpalevioletred3	Saccharibacteria	0.0033593
MetaG_M00373	MetaB_MEpalevioletred3	Schaalia_odontolytica	0.0039911
MetaG_M00373	MetaB_MEpalevioletred3	Selenomonas_sp_oral_taxon_126	0.003119
MetaG_M00373	MetaB_MEpalevioletred3	Selenomonas_sp_oral_taxon_920	0.0042091
